Date,Confirmed,Recovered,Deceased,Other,Tested,First Dose Administered,Second Dose Administered,Total Doses Administered
2020-03-09,1,0,0,0,0,0,0,0
2020-03-10,4,0,0,0,0,0,0,0
2020-03-11,4,0,0,0,0,0,0,0
2020-03-12,5,0,0,0,0,0,0,0
2020-03-13,6,0,1,0,0,0,0,0
2020-03-14,6,0,1,0,0,0,0,0
2020-03-15,6,0,1,0,0,0,0,0
2020-03-16,7,0,1,0,0,0,0,0
2020-03-17,11,0,1,0,0,0,0,0
2020-03-18,14,0,1,0,0,0,0,0
2020-03-19,15,0,1,0,0,0,0,0
2020-03-20,15,1,1,0,0,0,0,0
2020-03-21,20,1,1,0,0,0,0,0
2020-03-22,26,1,1,0,0,0,0,0
2020-03-23,33,1,1,0,0,0,0,0
2020-03-24,41,3,1,0,0,0,0,0
2020-03-25,51,3,1,0,0,0,0,0
2020-03-26,55,3,2,0,0,0,0,0
2020-03-27,64,5,3,0,0,0,0,0
2020-03-28,76,5,3,0,0,0,0,0
2020-03-29,83,5,3,0,0,0,0,0
2020-03-30,88,6,3,0,0,0,0,0
2020-03-31,101,8,3,0,0,0,0,0
2020-04-01,110,9,3,0,0,0,0,0
2020-04-02,124,11,3,0,0,0,0,0
2020-04-03,128,11,4,0,4587,0,0,0
2020-04-04,144,11,4,0,4587,0,0,0
2020-04-05,151,12,4,0,4587,0,0,0
2020-04-06,163,20,4,0,4587,0,0,0
2020-04-07,175,25,4,0,6580,0,0,0
2020-04-08,181,28,5,0,6967,0,0,0
2020-04-09,197,30,6,0,7613,0,0,0
2020-04-10,207,34,6,0,7975,0,0,0
2020-04-11,215,39,6,0,8560,0,0,0
2020-04-12,232,54,6,0,9251,0,0,0
2020-04-13,247,60,8,0,10017,0,0,0
2020-04-14,260,71,10,0,11107,0,0,0
2020-04-15,279,80,12,0,12483,0,0,0
2020-04-16,315,82,13,0,13724,0,0,0
2020-04-17,359,88,13,0,17594,0,0,0
2020-04-18,384,104,14,0,19186,0,0,0
2020-04-19,390,111,16,0,21367,0,0,0
2020-04-20,408,112,16,0,23460,0,0,0
2020-04-21,418,129,17,0,26233,0,0,0
2020-04-22,427,131,17,0,29512,0,0,0
2020-04-23,445,145,17,0,32122,0,0,0
2020-04-24,474,152,18,0,35958,0,0,0
2020-04-25,500,158,18,0,39083,0,0,0
2020-04-26,503,182,19,0,42964,0,0,0
2020-04-27,512,193,20,1,45685,0,0,0
2020-04-28,523,207,20,1,50512,0,0,0
2020-04-29,535,216,21,1,55404,0,0,0
2020-04-30,565,229,22,1,60156,0,0,0
2020-05-01,589,251,22,1,64898,0,0,0
2020-05-02,601,271,25,1,69730,0,0,0
2020-05-03,614,293,25,1,74898,0,0,0
2020-05-04,651,321,27,1,79193,0,0,0
2020-05-05,673,331,29,1,83806,0,0,0
2020-05-06,693,354,29,1,88777,0,0,0
2020-05-07,705,366,30,1,93535,0,0,0
2020-05-08,753,376,30,1,98081,0,0,0
2020-05-09,794,386,30,1,103098,0,0,0
2020-05-10,848,422,31,1,107311,0,0,0
2020-05-11,862,426,31,1,111595,0,0,0
2020-05-12,925,433,31,1,116533,0,0,0
2020-05-13,959,451,33,1,121178,0,0,0
2020-05-14,987,460,35,1,128373,0,0,0
2020-05-15,1056,480,36,1,133724,0,0,0
